parents,has_nurs,form,children,housing,finance,social,health,target
1,0.8046491792542352,1,0,1,1,1,1,2
1,0.8046491792542352,1,1,0,0,0,2,3
1,0.8046491792542352,1,1,0,0,0,1,2
1,0.8046491792542352,1,1,0,0,0,0,1
1,0.8046491792542352,1,1,0,0,2,0,1
1,0.8046491792542352,1,1,0,0,1,2,2
1,0.8046491792542352,1,1,0,0,1,1,2
1,0.8046491792542352,1,1,0,0,1,0,1
1,0.8046491792542352,1,1,0,1,0,1,2
1,0.8046491792542352,1,1,0,1,0,0,1
1,0.8046491792542352,1,1,0,1,2,2,3
1,0.8046491792542352,1,1,0,1,2,1,2
1,0.8046491792542352,1,1,0,1,2,0,1
1,0.8046491792542352,1,1,0,1,1,2,2
1,0.8046491792542352,1,1,0,1,1,0,1
1,0.8046491792542352,1,1,2,0,0,2,3
1,0.8046491792542352,1,1,2,0,0,1,2
1,0.8046491792542352,1,1,2,0,0,0,1
1,0.8046491792542352,1,1,2,0,2,2,3
1,0.8046491792542352,1,1,2,0,2,1,2
1,0.8046491792542352,1,1,2,0,2,0,1
1,0.8046491792542352,1,1,2,0,1,1,2
1,0.8046491792542352,1,1,2,1,0,2,3
1,0.8046491792542352,1,1,2,1,0,1,2
1,0.8046491792542352,1,1,2,1,0,0,1
1,0.8046491792542352,1,1,2,1,2,2,3
1,0.8046491792542352,1,1,2,1,2,1,2
1,0.8046491792542352,1,1,2,1,2,0,1
1,0.8046491792542352,1,1,2,1,1,1,2
1,0.8046491792542352,1,1,2,1,1,0,1
1,0.8046491792542352,1,1,1,0,0,2,2
1,0.8046491792542352,1,1,1,0,0,1,2
1,0.8046491792542352,1,1,1,0,0,0,1
1,0.8046491792542352,1,1,1,0,2,1,2
1,0.8046491792542352,1,1,1,0,2,0,1
1,0.8046491792542352,1,1,1,0,1,2,2
1,0.8046491792542352,1,1,1,0,1,1,2
1,0.8046491792542352,1,1,1,0,1,0,1
1,0.8046491792542352,1,1,1,1,0,1,2
1,0.8046491792542352,1,1,1,1,0,0,1
1,0.8046491792542352,1,1,1,1,2,2,2
1,0.8046491792542352,1,1,1,1,2,1,2
1,0.8046491792542352,1,1,1,1,2,0,1
1,0.8046491792542352,1,1,1,1,1,2,2
1,0.8046491792542352,1,1,1,1,1,1,2
1,0.8046491792542352,1,1,1,1,1,0,1
1,0.8046491792542352,1,2,0,0,0,2,3
1,0.8046491792542352,1,2,0,0,0,0,1
1,0.8046491792542352,1,2,0,0,2,2,3
1,0.8046491792542352,1,2,0,0,2,1,2
1,0.8046491792542352,1,2,0,0,1,2,2
1,0.8046491792542352,1,2,0,0,1,1,2
1,0.8046491792542352,1,2,0,0,1,0,1
1,0.8046491792542352,1,2,0,1,0,2,2
1,0.8046491792542352,1,2,0,1,0,1,2
1,0.8046491792542352,1,2,0,1,0,0,1
1,0.8046491792542352,1,2,0,1,2,2,2
1,0.8046491792542352,1,2,0,1,2,1,2
1,0.8046491792542352,1,2,0,1,2,0,1
1,0.8046491792542352,1,2,0,1,1,2,2
1,0.8046491792542352,1,2,0,1,1,1,2
1,0.8046491792542352,1,2,0,1,1,0,1
1,0.8046491792542352,1,2,2,0,0,2,2
1,0.8046491792542352,1,2,2,0,0,0,1
1,0.8046491792542352,1,2,2,0,2,2,2
1,0.8046491792542352,1,2,2,0,2,1,2
1,0.8046491792542352,1,2,2,0,2,0,1
1,0.8046491792542352,1,2,2,0,1,2,2
1,0.8046491792542352,1,2,2,0,1,1,2
1,0.8046491792542352,1,2,2,1,0,2,2
1,0.8046491792542352,1,2,2,1,0,0,1
1,0.8046491792542352,1,2,2,1,2,2,2
1,0.8046491792542352,1,2,2,1,2,1,2
1,0.8046491792542352,1,2,2,1,2,0,1
1,0.8046491792542352,1,2,2,1,1,2,2
1,0.8046491792542352,1,2,2,1,1,1,2
1,0.8046491792542352,1,2,2,1,1,0,1
1,0.8046491792542352,1,2,1,0,0,1,2
1,0.8046491792542352,1,2,1,0,0,0,1
1,0.8046491792542352,1,2,1,0,2,2,2
1,0.8046491792542352,1,2,1,0,2,0,1
1,0.8046491792542352,1,2,1,0,1,2,2
1,0.8046491792542352,1,2,1,0,1,1,2
1,0.8046491792542352,1,2,1,0,1,0,1
1,0.8046491792542352,1,2,1,1,0,2,2
1,0.8046491792542352,1,2,1,1,0,1,2
1,0.8046491792542352,1,2,1,1,2,2,2
1,0.8046491792542352,1,2,1,1,2,1,2
1,0.8046491792542352,1,2,1,1,2,0,1
1,0.8046491792542352,1,2,1,1,1,1,2
1,0.8046491792542352,1,2,1,1,1,0,1
1,0.8046491792542352,1,3,0,0,0,2,3
1,0.8046491792542352,1,3,0,0,0,1,2
1,0.8046491792542352,1,3,0,0,0,0,1
1,0.8046491792542352,1,3,0,0,2,1,2
1,0.8046491792542352,1,3,0,0,2,0,1
1,0.8046491792542352,1,3,0,0,1,2,2
1,0.8046491792542352,1,3,0,0,1,1,2
1,0.8046491792542352,1,3,0,0,1,0,1
1,0.8046491792542352,1,3,0,1,0,2,2
1,0.8046491792542352,1,3,0,1,0,1,2
1,0.8046491792542352,1,3,0,1,0,0,1
1,0.8046491792542352,1,3,0,1,2,2,2
1,0.8046491792542352,1,3,0,1,2,1,2
1,0.8046491792542352,1,3,0,1,2,0,1
1,0.8046491792542352,1,3,0,1,1,2,2
1,0.8046491792542352,1,3,0,1,1,1,2
1,0.8046491792542352,1,3,2,0,2,2,2
1,0.8046491792542352,1,3,2,0,2,0,1
1,0.8046491792542352,1,3,2,0,1,2,2
1,0.8046491792542352,1,3,2,0,1,1,2
1,0.8046491792542352,1,3,2,0,1,0,1
1,0.8046491792542352,1,3,2,1,0,0,1
1,0.8046491792542352,1,3,2,1,2,2,2
1,0.8046491792542352,1,3,2,1,2,1,2
1,0.8046491792542352,1,3,2,1,2,0,1
1,0.8046491792542352,1,3,2,1,1,2,2
1,0.8046491792542352,1,3,2,1,1,1,2
1,0.8046491792542352,1,3,2,1,1,0,1
1,0.8046491792542352,1,3,1,0,0,2,2
1,0.8046491792542352,1,3,1,0,0,1,2
1,0.8046491792542352,1,3,1,0,0,0,1
1,0.8046491792542352,1,3,1,0,2,2,2
1,0.8046491792542352,1,3,1,0,2,0,1
1,0.8046491792542352,1,3,1,0,1,1,2
1,0.8046491792542352,1,3,1,0,1,0,1
1,0.8046491792542352,1,3,1,1,0,2,2
1,0.8046491792542352,1,3,1,1,0,1,2
1,0.8046491792542352,1,3,1,1,0,0,1
1,0.8046491792542352,1,3,1,1,2,2,2
1,0.8046491792542352,1,3,1,1,2,1,2
1,0.8046491792542352,1,3,1,1,2,0,1
1,0.8046491792542352,1,3,1,1,1,2,2
1,0.8046491792542352,1,3,1,1,1,1,2
1,0.8046491792542352,1,3,1,1,1,0,1
1,0.8046491792542352,3,0,0,0,0,2,3
1,0.8046491792542352,3,0,0,0,0,1,2
1,0.8046491792542352,3,0,0,0,0,0,1
1,0.8046491792542352,3,0,0,0,2,1,2
1,0.8046491792542352,3,0,0,0,1,2,2
1,0.8046491792542352,3,0,0,0,1,1,2
1,0.8046491792542352,3,0,0,0,1,0,1
1,0.8046491792542352,3,0,0,1,2,1,2
1,0.8046491792542352,3,0,0,1,2,0,1
1,0.8046491792542352,3,0,0,1,1,2,2
1,0.8046491792542352,3,0,0,1,1,1,2
1,0.8046491792542352,3,0,0,1,1,0,1
1,0.8046491792542352,3,0,2,0,0,2,3
1,0.8046491792542352,3,0,2,0,0,1,2
1,0.8046491792542352,3,0,2,0,0,0,1
1,0.8046491792542352,3,0,2,0,2,2,3
1,0.8046491792542352,3,0,2,0,2,1,2
1,0.8046491792542352,3,0,2,0,2,0,1
1,0.8046491792542352,3,0,2,0,1,2,2
1,0.8046491792542352,3,0,2,0,1,1,2
1,0.8046491792542352,3,0,2,0,1,0,1
1,0.8046491792542352,3,0,2,1,0,2,3
1,0.8046491792542352,3,0,2,1,0,1,2
1,0.8046491792542352,3,0,2,1,0,0,1
1,0.8046491792542352,3,0,2,1,2,2,3
1,0.8046491792542352,3,0,2,1,2,1,2
1,0.8046491792542352,3,0,2,1,2,0,1
1,0.8046491792542352,3,0,2,1,1,2,2
1,0.8046491792542352,3,0,2,1,1,1,2
1,0.8046491792542352,3,0,2,1,1,0,1
1,0.8046491792542352,3,0,1,0,0,2,2
1,0.8046491792542352,3,0,1,0,0,0,1
1,0.8046491792542352,3,0,1,0,2,2,2
1,0.8046491792542352,3,0,1,0,2,1,2
1,0.8046491792542352,3,0,1,0,2,0,1
1,0.8046491792542352,3,0,1,0,1,1,2
1,0.8046491792542352,3,0,1,0,1,0,1
1,0.8046491792542352,3,0,1,1,0,1,2
1,0.8046491792542352,3,0,1,1,0,0,1
1,0.8046491792542352,3,0,1,1,2,2,2
1,0.8046491792542352,3,0,1,1,2,1,2
1,0.8046491792542352,3,0,1,1,1,2,2
1,0.8046491792542352,3,0,1,1,1,0,1
1,0.8046491792542352,3,1,0,0,0,2,3
1,0.8046491792542352,3,1,0,0,0,1,2
1,0.8046491792542352,3,1,0,0,0,0,1
1,0.8046491792542352,3,1,0,0,2,2,3
1,0.8046491792542352,3,1,0,0,1,2,2
1,0.8046491792542352,3,1,0,0,1,1,2
1,0.8046491792542352,3,1,0,0,1,0,1
1,0.8046491792542352,3,1,0,1,0,2,2
1,0.8046491792542352,3,1,0,1,0,1,2
1,0.8046491792542352,3,1,0,1,2,2,2
1,0.8046491792542352,3,1,0,1,2,1,2
1,0.8046491792542352,3,1,0,1,2,0,1
1,0.8046491792542352,3,1,0,1,1,0,1
1,0.8046491792542352,3,1,2,0,0,2,2
1,0.8046491792542352,3,1,2,0,0,1,2
1,0.8046491792542352,3,1,2,0,2,1,2
1,0.8046491792542352,3,1,2,0,2,0,1
1,0.8046491792542352,3,1,2,0,1,2,2
1,0.8046491792542352,3,1,2,0,1,1,2
1,0.8046491792542352,3,1,2,0,1,0,1
1,0.8046491792542352,3,1,2,1,0,2,2
1,0.8046491792542352,3,1,2,1,0,1,2
1,0.8046491792542352,3,1,2,1,0,0,1
1,0.8046491792542352,3,1,2,1,2,2,2
1,0.8046491792542352,3,1,2,1,2,1,2
1,0.8046491792542352,3,1,2,1,1,2,2
1,0.8046491792542352,3,1,2,1,1,0,1
1,0.8046491792542352,3,1,1,0,0,1,2
1,0.8046491792542352,3,1,1,0,0,0,1
1,0.8046491792542352,3,1,1,0,2,1,2
1,0.8046491792542352,3,1,1,0,2,0,1
1,0.8046491792542352,3,1,1,0,1,2,2
1,0.8046491792542352,3,1,1,0,1,0,1
1,0.8046491792542352,3,1,1,1,0,2,2
1,0.8046491792542352,3,1,1,1,0,1,2
1,0.8046491792542352,3,1,1,1,2,2,2
1,0.8046491792542352,3,1,1,1,1,2,2
1,0.8046491792542352,3,1,1,1,1,1,2
1,0.8046491792542352,3,1,1,1,1,0,1
1,0.8046491792542352,3,2,0,0,0,2,3
1,0.8046491792542352,3,2,0,0,0,1,2
1,0.8046491792542352,3,2,0,0,0,0,1
1,0.8046491792542352,3,2,0,0,2,2,3
1,0.8046491792542352,3,2,0,0,2,1,2
1,0.8046491792542352,3,2,0,0,2,0,1
1,0.8046491792542352,3,2,0,0,1,2,2
1,0.8046491792542352,3,2,0,0,1,1,2
1,0.8046491792542352,3,2,0,0,1,0,1
1,0.8046491792542352,3,2,0,1,0,2,2
1,0.8046491792542352,3,2,0,1,0,1,2
1,0.8046491792542352,3,2,0,1,2,2,2
1,0.8046491792542352,3,2,0,1,2,1,2
1,0.8046491792542352,3,2,0,1,2,0,1
1,0.8046491792542352,3,2,0,1,1,2,2
1,0.8046491792542352,3,2,0,1,1,1,2
1,0.8046491792542352,3,2,2,0,0,2,2
1,0.8046491792542352,3,2,2,0,0,1,2
1,0.8046491792542352,3,2,2,0,0,0,1
1,0.8046491792542352,3,2,2,0,2,2,2
1,0.8046491792542352,3,2,2,0,2,1,2
1,0.8046491792542352,3,2,2,0,2,0,1
1,0.8046491792542352,3,2,2,0,1,1,2
1,0.8046491792542352,3,2,2,0,1,0,1
1,0.8046491792542352,3,2,2,1,0,0,1
1,0.8046491792542352,3,2,2,1,2,2,2
1,0.8046491792542352,3,2,2,1,2,1,2
1,0.8046491792542352,3,2,2,1,2,0,1
1,0.8046491792542352,3,2,2,1,1,1,2
1,0.8046491792542352,3,2,2,1,1,0,1
1,0.8046491792542352,3,2,1,0,0,1,2
1,0.8046491792542352,3,2,1,0,0,0,1
1,0.8046491792542352,3,2,1,0,2,2,2
1,0.8046491792542352,3,2,1,0,2,1,2
1,0.8046491792542352,3,2,1,0,2,0,1
1,0.8046491792542352,3,2,1,0,1,2,2
1,0.8046491792542352,3,2,1,0,1,1,2
1,0.8046491792542352,3,2,1,0,1,0,1
1,0.8046491792542352,3,2,1,1,0,1,2
1,0.8046491792542352,3,2,1,1,0,0,1
1,0.8046491792542352,3,2,1,1,2,2,2
1,0.8046491792542352,3,2,1,1,2,1,2
1,0.8046491792542352,3,2,1,1,2,0,1
1,0.8046491792542352,3,2,1,1,1,2,2
1,0.8046491792542352,3,2,1,1,1,1,2
1,0.8046491792542352,3,3,0,0,0,2,3
1,0.8046491792542352,3,3,0,0,0,1,2
1,0.8046491792542352,3,3,0,0,0,0,1
1,0.8046491792542352,3,3,0,0,2,2,3
1,0.8046491792542352,3,3,0,0,2,0,1
1,0.8046491792542352,3,3,0,0,1,2,2
1,0.8046491792542352,3,3,0,1,0,2,2
1,0.8046491792542352,3,3,0,1,0,1,2
1,0.8046491792542352,3,3,0,1,0,0,1
1,0.8046491792542352,3,3,0,1,2,2,2
1,0.8046491792542352,3,3,0,1,2,1,2
1,0.8046491792542352,3,3,0,1,2,0,1
1,0.8046491792542352,3,3,0,1,1,2,2
1,0.8046491792542352,3,3,0,1,1,1,2
1,0.8046491792542352,3,3,0,1,1,0,1
1,0.8046491792542352,3,3,2,0,0,2,2
1,0.8046491792542352,3,3,2,0,0,1,2
1,0.8046491792542352,3,3,2,0,2,1,2
1,0.8046491792542352,3,3,2,0,2,0,1
1,0.8046491792542352,3,3,2,0,1,2,2
1,0.8046491792542352,3,3,2,0,1,1,2
1,0.8046491792542352,3,3,2,0,1,0,1
1,0.8046491792542352,3,3,2,1,0,2,2
1,0.8046491792542352,3,3,2,1,0,1,2
1,0.8046491792542352,3,3,2,1,2,2,2
1,0.8046491792542352,3,3,2,1,2,1,2
1,0.8046491792542352,3,3,2,1,2,0,1
1,0.8046491792542352,3,3,2,1,1,2,2
1,0.8046491792542352,3,3,2,1,1,1,2
1,0.8046491792542352,3,3,2,1,1,0,1
1,0.8046491792542352,3,3,1,0,0,2,2
1,0.8046491792542352,3,3,1,0,0,1,2
1,0.8046491792542352,3,3,1,0,0,0,1
1,0.8046491792542352,3,3,1,0,2,1,2
1,0.8046491792542352,3,3,1,0,2,0,1
1,0.8046491792542352,3,3,1,0,1,2,2
1,0.8046491792542352,3,3,1,0,1,1,2
1,0.8046491792542352,3,3,1,0,1,0,1
1,0.8046491792542352,3,3,1,1,0,2,2
1,0.8046491792542352,3,3,1,1,0,0,1
1,0.8046491792542352,3,3,1,1,2,2,2
1,0.8046491792542352,3,3,1,1,2,1,2
1,0.8046491792542352,3,3,1,1,2,0,1
1,0.8046491792542352,3,3,1,1,1,2,2
1,0.8046491792542352,3,3,1,1,1,1,2
1,0.8046491792542352,3,3,1,1,1,0,1
1,0.8046491792542352,2,0,0,0,0,2,3
1,0.8046491792542352,2,0,0,0,0,1,2
1,0.8046491792542352,2,0,0,0,0,0,1
1,0.8046491792542352,2,0,0,0,2,0,1
1,0.8046491792542352,2,0,0,0,1,2,2
1,0.8046491792542352,2,0,0,0,1,0,1
1,0.8046491792542352,2,0,0,1,0,2,2
1,0.8046491792542352,2,0,0,1,0,1,2
1,0.8046491792542352,2,0,0,1,0,0,1
1,0.8046491792542352,2,0,0,1,2,2,2
1,0.8046491792542352,2,0,0,1,1,1,2
1,0.8046491792542352,2,0,0,1,1,0,1
1,0.8046491792542352,2,0,2,0,0,2,2
1,0.8046491792542352,2,0,2,0,0,1,2
1,0.8046491792542352,2,0,2,0,0,0,1
1,0.8046491792542352,2,0,2,0,2,1,2
1,0.8046491792542352,2,0,2,0,2,0,1
1,0.8046491792542352,2,0,2,0,1,1,2
1,0.8046491792542352,2,0,2,0,1,0,1
1,0.8046491792542352,2,0,2,1,0,2,2
1,0.8046491792542352,2,0,2,1,0,1,2
1,0.8046491792542352,2,0,2,1,2,0,1
1,0.8046491792542352,2,0,2,1,1,2,2
1,0.8046491792542352,2,0,2,1,1,1,2
1,0.8046491792542352,2,0,2,1,1,0,1
1,0.8046491792542352,2,0,1,0,0,2,2
1,0.8046491792542352,2,0,1,0,0,1,2
1,0.8046491792542352,2,0,1,0,0,0,1
1,0.8046491792542352,2,0,1,0,2,2,2
1,0.8046491792542352,2,0,1,0,2,1,2
1,0.8046491792542352,2,0,1,0,2,0,1
1,0.8046491792542352,2,0,1,0,1,2,2
1,0.8046491792542352,2,0,1,0,1,1,2
1,0.8046491792542352,2,0,1,1,0,2,2
1,0.8046491792542352,2,0,1,1,0,1,2
1,0.8046491792542352,2,0,1,1,0,0,1
1,0.8046491792542352,2,0,1,1,2,2,2
1,0.8046491792542352,2,0,1,1,2,1,2
1,0.8046491792542352,2,0,1,1,2,0,1
1,0.8046491792542352,2,0,1,1,1,2,2
1,0.8046491792542352,2,0,1,1,1,1,2
1,0.8046491792542352,2,0,1,1,1,0,1
1,0.8046491792542352,2,1,0,0,0,1,2
1,0.8046491792542352,2,1,0,0,0,0,1
1,0.8046491792542352,2,1,0,0,2,1,2
1,0.8046491792542352,2,1,0,0,2,0,1
1,0.8046491792542352,2,1,0,0,1,2,2
1,0.8046491792542352,2,1,0,0,1,1,2
1,0.8046491792542352,2,1,0,0,1,0,1
1,0.8046491792542352,2,1,0,1,0,1,2
1,0.8046491792542352,2,1,0,1,0,0,1
1,0.8046491792542352,2,1,0,1,2,1,2
1,0.8046491792542352,2,1,0,1,1,2,2
1,0.8046491792542352,2,1,2,0,0,2,2
1,0.8046491792542352,2,1,2,0,0,1,2
1,0.8046491792542352,2,1,2,0,0,0,1
1,0.8046491792542352,2,1,2,0,2,2,2
1,0.8046491792542352,2,1,2,0,2,1,2
1,0.8046491792542352,2,1,2,0,2,0,1
1,0.8046491792542352,2,1,2,0,1,2,2
1,0.8046491792542352,2,1,2,0,1,1,2
1,0.8046491792542352,2,1,2,0,1,0,1
1,0.8046491792542352,2,1,2,1,0,2,2
1,0.8046491792542352,2,1,2,1,0,1,2
1,0.8046491792542352,2,1,2,1,0,0,1
1,0.8046491792542352,2,1,2,1,2,2,2
1,0.8046491792542352,2,1,2,1,2,1,2
1,0.8046491792542352,2,1,2,1,2,0,1
1,0.8046491792542352,2,1,2,1,1,2,2
1,0.8046491792542352,2,1,2,1,1,1,2
1,0.8046491792542352,2,1,2,1,1,0,1
1,0.8046491792542352,2,1,1,0,0,2,2
1,0.8046491792542352,2,1,1,0,0,0,1
1,0.8046491792542352,2,1,1,0,2,2,2
1,0.8046491792542352,2,1,1,0,2,1,2
1,0.8046491792542352,2,1,1,0,2,0,1
1,0.8046491792542352,2,1,1,0,1,2,2
1,0.8046491792542352,2,1,1,0,1,1,2
1,0.8046491792542352,2,1,1,1,0,2,2
1,0.8046491792542352,2,1,1,1,0,1,2
1,0.8046491792542352,2,1,1,1,0,0,1
1,0.8046491792542352,2,1,1,1,2,2,2
1,0.8046491792542352,2,1,1,1,2,1,2
1,0.8046491792542352,2,1,1,1,2,0,1
1,0.8046491792542352,2,1,1,1,1,2,2
1,0.8046491792542352,2,1,1,1,1,1,2
1,0.8046491792542352,2,1,1,1,1,0,1
1,0.8046491792542352,2,2,0,0,0,2,3
1,0.8046491792542352,2,2,0,0,0,1,2
1,0.8046491792542352,2,2,0,0,0,0,1
1,0.8046491792542352,2,2,0,0,2,2,3
1,0.8046491792542352,2,2,0,0,2,1,2
1,0.8046491792542352,2,2,0,0,2,0,1
1,0.8046491792542352,2,2,0,0,1,1,2
1,0.8046491792542352,2,2,0,0,1,0,1
1,0.8046491792542352,2,2,0,1,0,1,2
1,0.8046491792542352,2,2,0,1,0,0,1
1,0.8046491792542352,2,2,0,1,2,2,2
1,0.8046491792542352,2,2,0,1,2,1,2
1,0.8046491792542352,2,2,0,1,2,0,1
1,0.8046491792542352,2,2,0,1,1,2,2
1,0.8046491792542352,2,2,0,1,1,1,2
1,0.8046491792542352,2,2,0,1,1,0,1
1,0.8046491792542352,2,2,2,0,0,2,2
1,0.8046491792542352,2,2,2,0,0,1,2
1,0.8046491792542352,2,2,2,0,0,0,1
1,0.8046491792542352,2,2,2,0,2,2,2
1,0.8046491792542352,2,2,2,0,2,1,2
1,0.8046491792542352,2,2,2,0,1,2,2
1,0.8046491792542352,2,2,2,0,1,1,2
1,0.8046491792542352,2,2,2,1,0,2,2
1,0.8046491792542352,2,2,2,1,0,1,2
1,0.8046491792542352,2,2,2,1,0,0,1
1,0.8046491792542352,2,2,2,1,2,2,2
1,0.8046491792542352,2,2,2,1,2,1,2
1,0.8046491792542352,2,2,2,1,2,0,1
1,0.8046491792542352,2,2,2,1,1,2,2
1,0.8046491792542352,2,2,2,1,1,1,2
1,0.8046491792542352,2,2,2,1,1,0,1
1,0.8046491792542352,2,2,1,0,0,2,2
1,0.8046491792542352,2,2,1,0,0,0,1
1,0.8046491792542352,2,2,1,0,2,2,2
1,0.8046491792542352,2,2,1,0,2,1,2
1,0.8046491792542352,2,2,1,0,2,0,1
1,0.8046491792542352,2,2,1,0,1,1,2
1,0.8046491792542352,2,2,1,0,1,0,1
1,0.8046491792542352,2,2,1,1,0,2,2
1,0.8046491792542352,2,2,1,1,0,1,2
1,0.8046491792542352,2,2,1,1,0,0,1
1,0.8046491792542352,2,2,1,1,2,2,2
1,0.8046491792542352,2,2,1,1,2,1,2
1,0.8046491792542352,2,2,1,1,2,0,1
1,0.8046491792542352,2,2,1,1,1,2,2
1,0.8046491792542352,2,2,1,1,1,0,1
1,0.8046491792542352,2,3,0,0,0,2,3
1,0.8046491792542352,2,3,0,0,0,1,2
1,0.8046491792542352,2,3,0,0,0,0,1
1,0.8046491792542352,2,3,0,0,2,2,3
1,0.8046491792542352,2,3,0,0,2,1,2
1,0.8046491792542352,2,3,0,0,1,1,2
1,0.8046491792542352,2,3,0,1,0,2,2
1,0.8046491792542352,2,3,0,1,0,1,2
1,0.8046491792542352,2,3,0,1,0,0,1
1,0.8046491792542352,2,3,0,1,2,2,2
1,0.8046491792542352,2,3,0,1,2,1,2
1,0.8046491792542352,2,3,0,1,2,0,1
1,0.8046491792542352,2,3,0,1,1,2,2
1,0.8046491792542352,2,3,0,1,1,1,2
1,0.8046491792542352,2,3,0,1,1,0,1
1,0.8046491792542352,2,3,2,0,0,2,2
1,0.8046491792542352,2,3,2,0,0,1,2
1,0.8046491792542352,2,3,2,0,0,0,1
1,0.8046491792542352,2,3,2,0,2,0,1
1,0.8046491792542352,2,3,2,0,1,2,2
1,0.8046491792542352,2,3,2,0,1,1,2
1,0.8046491792542352,2,3,2,0,1,0,1
1,0.8046491792542352,2,3,2,1,0,2,2
1,0.8046491792542352,2,3,2,1,0,1,2
1,0.8046491792542352,2,3,2,1,0,0,1
1,0.8046491792542352,2,3,2,1,2,2,2
1,0.8046491792542352,2,3,2,1,2,1,2
1,0.8046491792542352,2,3,2,1,2,0,1
1,0.8046491792542352,2,3,2,1,1,2,2
1,0.8046491792542352,2,3,2,1,1,1,2
1,0.8046491792542352,2,3,1,0,0,2,2
1,0.8046491792542352,2,3,1,0,0,1,2
1,0.8046491792542352,2,3,1,0,2,2,2
1,0.8046491792542352,2,3,1,0,2,1,2
1,0.8046491792542352,2,3,1,0,2,0,1
1,0.8046491792542352,2,3,1,0,1,2,2
1,0.8046491792542352,2,3,1,0,1,1,2
1,0.8046491792542352,2,3,1,0,1,0,1
1,0.8046491792542352,2,3,1,1,0,2,2
1,0.8046491792542352,2,3,1,1,0,1,2
1,0.8046491792542352,2,3,1,1,0,0,1
1,0.8046491792542352,2,3,1,1,2,2,2
1,0.8046491792542352,2,3,1,1,1,2,2
1,0.8046491792542352,2,3,1,1,1,1,2
1,0.8046491792542352,2,3,1,1,1,0,1
1,0.00036091014992334277,0,0,0,0,0,2,3
1,0.00036091014992334277,0,0,0,0,0,1,2
1,0.00036091014992334277,0,0,0,0,0,0,1
1,0.00036091014992334277,0,0,0,0,2,2,3
1,0.00036091014992334277,0,0,0,0,2,1,2
1,0.00036091014992334277,0,0,0,0,1,1,2
1,0.00036091014992334277,0,0,0,0,1,0,1
1,0.00036091014992334277,0,0,0,1,0,2,3
1,0.00036091014992334277,0,0,0,1,0,1,2
1,0.00036091014992334277,0,0,0,1,2,2,3
1,0.00036091014992334277,0,0,0,1,2,1,2
1,0.00036091014992334277,0,0,0,1,2,0,1
1,0.00036091014992334277,0,0,0,1,1,1,2
1,0.00036091014992334277,0,0,0,1,1,0,1
1,0.00036091014992334277,0,0,2,0,0,2,3
1,0.00036091014992334277,0,0,2,0,0,1,2
1,0.00036091014992334277,0,0,2,0,0,0,1
1,0.00036091014992334277,0,0,2,0,2,2,3
1,0.00036091014992334277,0,0,2,0,2,1,2
1,0.00036091014992334277,0,0,2,0,2,0,1
1,0.00036091014992334277,0,0,2,0,1,1,2
1,0.00036091014992334277,0,0,2,0,1,0,1
1,0.00036091014992334277,0,0,2,1,0,2,3
1,0.00036091014992334277,0,0,2,1,0,0,1
1,0.00036091014992334277,0,0,2,1,2,1,2
1,0.00036091014992334277,0,0,2,1,2,0,1
1,0.00036091014992334277,0,0,2,1,1,1,2
1,0.00036091014992334277,0,0,1,0,0,2,3
1,0.00036091014992334277,0,0,1,0,0,1,2
1,0.00036091014992334277,0,0,1,0,0,0,1
1,0.00036091014992334277,0,0,1,0,2,2,3
1,0.00036091014992334277,0,0,1,0,2,1,2
1,0.00036091014992334277,0,0,1,0,2,0,1
1,0.00036091014992334277,0,0,1,0,1,2,2
1,0.00036091014992334277,0,0,1,0,1,1,2
1,0.00036091014992334277,0,0,1,1,0,2,3
1,0.00036091014992334277,0,0,1,1,0,1,2
1,0.00036091014992334277,0,0,1,1,0,0,1
1,0.00036091014992334277,0,0,1,1,2,2,3
1,0.00036091014992334277,0,0,1,1,2,1,2
1,0.00036091014992334277,0,0,1,1,2,0,1
1,0.00036091014992334277,0,0,1,1,1,2,2
1,0.00036091014992334277,0,0,1,1,1,1,2
1,0.00036091014992334277,0,0,1,1,1,0,1
1,0.00036091014992334277,0,1,0,0,0,2,3
1,0.00036091014992334277,0,1,0,0,0,1,2
1,0.00036091014992334277,0,1,0,0,0,0,1
1,0.00036091014992334277,0,1,0,0,2,1,2
1,0.00036091014992334277,0,1,0,0,2,0,1
1,0.00036091014992334277,0,1,0,0,1,1,2
1,0.00036091014992334277,0,1,0,0,1,0,1
1,0.00036091014992334277,0,1,0,1,0,2,3
1,0.00036091014992334277,0,1,0,1,0,1,2
1,0.00036091014992334277,0,1,0,1,0,0,1
1,0.00036091014992334277,0,1,0,1,2,2,3
1,0.00036091014992334277,0,1,0,1,2,1,2
1,0.00036091014992334277,0,1,0,1,2,0,1
1,0.00036091014992334277,0,1,0,1,1,1,2
1,0.00036091014992334277,0,1,0,1,1,0,1
1,0.00036091014992334277,0,1,2,0,0,2,3
1,0.00036091014992334277,0,1,2,0,0,1,2
1,0.00036091014992334277,0,1,2,0,0,0,1
1,0.00036091014992334277,0,1,2,0,2,2,3
1,0.00036091014992334277,0,1,2,0,2,0,1
1,0.00036091014992334277,0,1,2,0,1,2,2
1,0.00036091014992334277,0,1,2,0,1,1,2
1,0.00036091014992334277,0,1,2,1,0,2,3
1,0.00036091014992334277,0,1,2,1,0,1,2
1,0.00036091014992334277,0,1,2,1,0,0,1
